datetime,qualitystatus,resolutioncode,netregulationvolume,systemimbalance,alpha,marginalincrementalprice,marginaldecrementalprice,strategicreserveprice,positiveimbalanceprice,negativeimbalanceprice
2024-01-01T13:30:00+00:00,Validated,PT15M,-30.452,13.378,0.0,72.85,5.0,,5.0,5.0
2024-01-01T13:45:00+00:00,Validated,PT15M,0.845,-28.72,0.0,80.48,5.0,,80.48,80.48
2024-01-01T14:00:00+00:00,Validated,PT15M,-6.806,-5.746,0.0,148.78,-38.85,,148.78,148.78
2024-01-01T14:15:00+00:00,Validated,PT15M,24.296,-52.692,0.0,124.96,-4.64,,124.96,124.96
2024-01-01T14:30:00+00:00,Validated,PT15M,88.452,-145.056,0.0,268.09,-3.02,,268.09,268.09
2024-01-01T14:45:00+00:00,Validated,PT15M,124.824,-152.999,1.71,223.3,-38.0,,225.0,225.0
2024-01-01T15:00:00+00:00,Validated,PT15M,34.387,-48.495,0.0,103.23,25.0,,103.23,103.23
2024-01-01T15:15:00+00:00,Validated,PT15M,288.318,-383.133,3.88,253.53,25.0,,257.41,257.41
2024-01-01T15:30:00+00:00,Validated,PT15M,570.201,-599.867,64.03,302.16,-43.22,,366.19,366.19
2024-01-01T15:45:00+00:00,Validated,PT15M,634.167,-672.606,135.01,257.3,25.0,,392.31,392.31
2024-01-01T16:00:00+00:00,Validated,PT15M,329.063,-332.278,101.93,252.58,7.47,,354.51,354.51
2024-01-01T16:15:00+00:00,Validated,PT15M,266.815,-263.137,14.72,232.0,8.42,,246.72,246.72
2024-01-01T16:30:00+00:00,Validated,PT15M,209.524,-157.425,4.1,232.0,-21.95,,236.1,236.1
2024-01-01T16:45:00+00:00,Validated,PT15M,-34.883,224.675,0.0,229.0,-235.92,,-235.92,-235.92
2024-01-01T17:00:00+00:00,Validated,PT15M,-327.776,379.828,0.0,145.37,-255.34,,-255.34,-255.34
2024-01-01T17:15:00+00:00,Validated,PT15M,-157.722,137.88,0.0,129.03,-84.0,,-84.0,-84.0
2024-01-01T17:30:00+00:00,Validated,PT15M,-158.474,183.228,2.02,124.71,-24.22,,-26.24,-26.24
2024-01-01T17:45:00+00:00,Validated,PT15M,-153.125,166.148,1.88,120.66,-68.31,,-70.19,-70.19
2024-01-01T18:00:00+00:00,Validated,PT15M,19.902,-10.204,0.0,120.64,-40.65,,120.64,120.64
2024-01-01T18:15:00+00:00,Validated,PT15M,7.35,-20.351,0.0,126.06,-49.81,,126.06,126.06
2024-01-01T18:30:00+00:00,Validated,PT15M,70.292,-81.131,0.0,121.67,-39.51,,121.67,121.67
