scenario,mean_insider_profit,se_insider_profit,ci_low,ci_high,mean_insider_score,n_seeds
no_insider,0.0,0.0,0.0,0.0,0.0,20
insider_lagged,57.14339387656493,2.150442731585938,52.92852612265649,61.358261630473365,0.8519581929257611,20
insider_leaked,63.984358291673686,2.6536230965354237,58.783257022464255,69.18545956088312,0.9922201315997505,20
