variant,mean_crps,delta_crps_vs_full,mean_HHI,mean_N_eff,final_gini
Full,0.04241833621931709,0.0,0.31605324172337135,3.419071414205216,0.4811130897727106
A-,0.04194739852629684,-0.00047093769302024996,0.34711275401203046,3.1386620223880373,0.545437606288509
B-,0.044417422497544254,0.0019990862782271607,0.2229080802527838,4.770241764484707,nan
C-,0.04212083215301556,-0.00029750406630153076,0.324425810138392,3.366000641237242,0.5352493198496345
D-,0.029460199186292117,-0.012958137033024977,0.31605324172337135,3.419071414205216,0.4811130897727106
E-,0.04339836673963382,0.000980030520316727,0.225021770821753,4.723740407576722,0.0
