scenario,mean_inflation_rate,se_inflation_rate,mean_wash_profit,se_wash_profit,n_seeds
no_wash,0.0,0.0,0.0,0.0,20
wash_k3_anchor,0.6705689196601677,0.009800725393500085,14.714213433145854,1.3625391270500478,20
wash_k5_split,1.1176148661002796,0.01633454232250015,-261.50976925663076,2.70664374122655,20
