station_id;datetime;lead_time_hour;species;conc_raw_micrograms_per_m3
IT1796A;2024-12-01 23:00;23;PM2.5;18.3
IT1827A;2024-12-01 00:00;0;PM2.5;5.3
IT1827A;2024-12-01 01:00;1;PM2.5;5.9
IT1827A;2024-12-01 02:00;2;PM2.5;5.3
IT1827A;2024-12-01 03:00;3;PM2.5;5.6
IT1827A;2024-12-01 04:00;4;PM2.5;5.9
IT1827A;2024-12-01 05:00;5;PM2.5;5.7
IT1827A;2024-12-01 06:00;6;PM2.5;5.7
IT1827A;2024-12-01 07:00;7;PM2.5;5.7
IT1827A;2024-12-01 08:00;8;PM2.5;5.8
IT1827A;2024-12-01 09:00;9;PM2.5;5.8
IT1827A;2024-12-01 10:00;10;PM2.5;6.0
IT1827A;2024-12-01 11:00;11;PM2.5;6.4
IT1827A;2024-12-01 12:00;12;PM2.5;6.6
IT1827A;2024-12-01 13:00;13;PM2.5;6.8
IT1827A;2024-12-01 14:00;14;PM2.5;7.4
IT1827A;2024-12-01 15:00;15;PM2.5;7.5
IT1827A;2024-12-01 16:00;16;PM2.5;7.5
IT1827A;2024-12-01 17:00;17;PM2.5;7.8
IT1827A;2024-12-01 18:00;18;PM2.5;8.3
IT1827A;2024-12-01 19:00;19;PM2.5;9.4
IT1827A;2024-12-01 20:00;20;PM2.5;12.5
IT1827A;2024-12-01 21:00;21;PM2.5;15.8
IT1827A;2024-12-01 22:00;22;PM2.5;18.7
IT1827A;2024-12-01 23:00;23;PM2.5;19.0
IT2151A;2024-12-01 00:00;0;PM2.5;2.2
IT2151A;2024-12-01 01:00;1;PM2.5;2.4
IT2151A;2024-12-01 02:00;2;PM2.5;2.6
IT2151A;2024-12-01 03:00;3;PM2.5;2.4
IT2151A;2024-12-01 04:00;4;PM2.5;2.5
IT2151A;2024-12-01 05:00;5;PM2.5;2.6
IT2151A;2024-12-01 06:00;6;PM2.5;2.8
IT2151A;2024-12-01 07:00;7;PM2.5;2.9
IT2151A;2024-12-01 08:00;8;PM2.5;2.8
IT2151A;2024-12-01 09:00;9;PM2.5;2.9
IT2151A;2024-12-01 10:00;10;PM2.5;3.0
IT2151A;2024-12-01 11:00;11;PM2.5;3.0
IT2151A;2024-12-01 12:00;12;PM2.5;3.1
IT2151A;2024-12-01 13:00;13;PM2.5;3.2
IT2151A;2024-12-01 14:00;14;PM2.5;3.2
IT2151A;2024-12-01 15:00;15;PM2.5;3.3
IT2151A;2024-12-01 16:00;16;PM2.5;3.7
IT2151A;2024-12-01 17:00;17;PM2.5;4.0
IT2151A;2024-12-01 18:00;18;PM2.5;4.1
IT2151A;2024-12-01 19:00;19;PM2.5;4.2
IT2151A;2024-12-01 20:00;20;PM2.5;4.1
IT2151A;2024-12-01 21:00;21;PM2.5;4.1
IT2151A;2024-12-01 22:00;22;PM2.5;3.9
IT2151A;2024-12-01 23:00;23;PM2.5;3.9
