experiment,method,seed,DGP,preset,mean_crps,delta_crps_vs_equal,mean_HHI,mean_N_eff,final_gini
master_comparison,uniform,42,latent_fixed,fixed_deposits,0.05595451728121815,0.0,0.13197172013685546,7.829042990743857,nan
master_comparison,deposit,42,latent_fixed,fixed_deposits,0.05595451728121815,0.0,0.13197172013685546,7.829042990743857,nan
master_comparison,skill,42,latent_fixed,fixed_deposits,0.05440805055184727,-0.0015464667293708795,0.13197172013685546,7.829042990743857,nan
master_comparison,mechanism,42,latent_fixed,fixed_deposits,0.053052551121221835,-0.0029019661599963137,0.13197172013685546,7.829042990743857,nan
master_comparison,best_single,42,latent_fixed,fixed_deposits,0.022601373554078836,-0.03335314372713931,0.13197172013685546,7.829042990743857,nan
master_comparison,uniform,43,latent_fixed,fixed_deposits,0.05408738909654321,0.0,0.13002306325507798,7.9169443910431,nan
master_comparison,deposit,43,latent_fixed,fixed_deposits,0.05408738909654321,0.0,0.13002306325507798,7.9169443910431,nan
master_comparison,skill,43,latent_fixed,fixed_deposits,0.05268672166859036,-0.001400667427952848,0.13002306325507798,7.9169443910431,nan
master_comparison,mechanism,43,latent_fixed,fixed_deposits,0.05145358256562285,-0.0026338065309203587,0.13002306325507798,7.9169443910431,nan
master_comparison,best_single,43,latent_fixed,fixed_deposits,0.023804903550124067,-0.030282485546419144,0.13002306325507798,7.9169443910431,nan
master_comparison,uniform,44,latent_fixed,fixed_deposits,0.05678787426356422,0.0,0.13040298766053385,7.914479447391404,nan
master_comparison,deposit,44,latent_fixed,fixed_deposits,0.05678787426356422,0.0,0.13040298766053385,7.914479447391404,nan
master_comparison,skill,44,latent_fixed,fixed_deposits,0.05528282154879368,-0.0015050527147705411,0.13040298766053385,7.914479447391404,nan
master_comparison,mechanism,44,latent_fixed,fixed_deposits,0.05394218512926981,-0.0028456891342944143,0.13040298766053385,7.914479447391404,nan
master_comparison,best_single,44,latent_fixed,fixed_deposits,0.023106482865923036,-0.03368139139764119,0.13040298766053385,7.914479447391404,nan
master_comparison,uniform,45,latent_fixed,fixed_deposits,0.055741689191697946,0.0,0.13185113226292017,7.814095852757023,nan
master_comparison,deposit,45,latent_fixed,fixed_deposits,0.055741689191697946,0.0,0.13185113226292017,7.814095852757023,nan
master_comparison,skill,45,latent_fixed,fixed_deposits,0.05425234979175983,-0.0014893393999381166,0.13185113226292017,7.814095852757023,nan
master_comparison,mechanism,45,latent_fixed,fixed_deposits,0.05294248264628039,-0.002799206545417557,0.13185113226292017,7.814095852757023,nan
master_comparison,best_single,45,latent_fixed,fixed_deposits,0.02384685458820975,-0.0318948346034882,0.13185113226292017,7.814095852757023,nan
master_comparison,uniform,46,latent_fixed,fixed_deposits,0.055342264371377986,0.0,0.128651239810177,7.968972757015945,nan
master_comparison,deposit,46,latent_fixed,fixed_deposits,0.05534226437137799,6.938893903907228e-18,0.128651239810177,7.968972757015945,nan
master_comparison,skill,46,latent_fixed,fixed_deposits,0.05374820941243121,-0.0015940549589467737,0.128651239810177,7.968972757015945,nan
master_comparison,mechanism,46,latent_fixed,fixed_deposits,0.052339129496787644,-0.003003134874590342,0.128651239810177,7.968972757015945,nan
master_comparison,best_single,46,latent_fixed,fixed_deposits,0.021923178249048613,-0.03341908612232937,0.128651239810177,7.968972757015945,nan
master_comparison,uniform,47,latent_fixed,fixed_deposits,0.05630576342359664,0.0,0.13033796753822663,7.891137703308131,nan
master_comparison,deposit,47,latent_fixed,fixed_deposits,0.05630576342359663,-6.938893903907228e-18,0.13033796753822663,7.891137703308131,nan
master_comparison,skill,47,latent_fixed,fixed_deposits,0.054739110076415354,-0.001566653347181285,0.13033796753822663,7.891137703308131,nan
master_comparison,mechanism,47,latent_fixed,fixed_deposits,0.05336025206934505,-0.0029455113542515912,0.13033796753822663,7.891137703308131,nan
master_comparison,best_single,47,latent_fixed,fixed_deposits,0.022234427556458287,-0.034071335867138355,0.13033796753822663,7.891137703308131,nan
master_comparison,uniform,48,latent_fixed,fixed_deposits,0.05492856688763419,0.0,0.13142024568770755,7.845756121423985,nan
master_comparison,deposit,48,latent_fixed,fixed_deposits,0.05492856688763419,0.0,0.13142024568770755,7.845756121423985,nan
master_comparison,skill,48,latent_fixed,fixed_deposits,0.05338550078432469,-0.0015430661033095025,0.13142024568770755,7.845756121423985,nan
master_comparison,mechanism,48,latent_fixed,fixed_deposits,0.05203207495441868,-0.002896491933215513,0.13142024568770755,7.845756121423985,nan
master_comparison,best_single,48,latent_fixed,fixed_deposits,0.023697923038395647,-0.031230643849238546,0.13142024568770755,7.845756121423985,nan
master_comparison,uniform,49,latent_fixed,fixed_deposits,0.05633863989184493,0.0,0.13117841230366853,7.8361702036448175,nan
master_comparison,deposit,49,latent_fixed,fixed_deposits,0.05633863989184491,-1.3877787807814457e-17,0.13117841230366853,7.8361702036448175,nan
master_comparison,skill,49,latent_fixed,fixed_deposits,0.05488036736174221,-0.0014582725301027152,0.13117841230366853,7.8361702036448175,nan
master_comparison,mechanism,49,latent_fixed,fixed_deposits,0.05359580039173031,-0.0027428395001146202,0.13117841230366853,7.8361702036448175,nan
master_comparison,best_single,49,latent_fixed,fixed_deposits,0.022775712216396668,-0.03356292767544826,0.13117841230366853,7.8361702036448175,nan
